,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-03-09,6.0,3.48537678110149,0.10919429607330948,2.872076202376595,3.475482158975688,4.1572965623172085
2020-03-10,4.0,3.614757857398533,0.07842631230459572,3.0749602051495235,3.607474001960096,4.171370214940238
2020-03-11,5.0,3.4932234509932485,0.05468159561968478,3.0571304324265336,3.488399912064494,3.95663337196765
2020-03-12,8.0,3.1766339376797483,0.036438742685682535,2.816720049476097,3.172665262466704,3.567110257433961
2020-03-13,12.0,2.694780064987721,0.02169490870894817,2.403062041292725,2.6918784754103586,2.998326519839569
2020-03-14,17.0,2.1654241171538477,0.01307633033265328,1.94636579537433,2.1634335943109533,2.3939049471118388
2020-03-15,25.0,1.7185768812298532,0.007897847814944367,1.5488258846276861,1.716989301092645,1.897732620832563
2020-03-16,36.0,1.3743873362520782,0.005139444422168422,1.2343729329197686,1.373116061533863,1.5203517192863956
2020-03-17,62.0,1.0987857083488972,0.0035895411515029867,0.9863212199100029,1.0977659809350548,1.2151976316329067
2020-03-18,45.0,0.8999455919987711,0.002714340077125725,0.8020782752768357,0.8989764229229384,1.0035312635742202
2020-03-19,33.0,0.8052641978322681,0.0023367783590430755,0.7127498156219437,0.8042851692044093,0.9023905335786685
2020-03-20,24.0,0.8841606752635195,0.0025666310710901995,0.7900739653117234,0.883222300355629,0.9847376707072957
2020-03-21,17.0,1.250602623273334,0.0037917823858100606,1.1332699285261834,1.249574300942084,1.376829310764896
2020-03-22,12.0,2.0128157080412064,0.006517366483247529,1.8584071454890638,2.0117466934294983,2.1724730323069745
2020-03-23,9.0,3.150282998014922,0.00973527498702034,2.96204317379015,3.1492239338803696,3.345502076379545
2020-03-24,36.0,4.038121984540655,0.010308885276267367,3.8465410778175606,4.0373167787109745,4.233977526991966
2020-03-25,81.0,4.159096617908358,0.007739729650304483,3.987882034608177,4.158473312434838,4.333706496231953
2020-03-26,122.0,3.67180620131937,0.004543155028624148,3.5417049565864716,3.6713939033896112,3.8050592620937254
2020-03-27,170.0,3.007055131393736,0.0025297974581106873,2.909000428078255,3.0067731191504725,3.106712481361062
2020-03-28,231.0,2.429355447725311,0.001428796664026784,2.3549092963693794,2.429152683172587,2.5052721542820877
2020-03-29,313.0,1.9638295929165,0.0008580165815437856,1.906432198287841,1.9636807244880599,2.0221906439675896
2020-03-30,424.0,1.6016800774808182,0.0005510852185510065,1.5560131134649011,1.6015648603667896,1.6481228950335378
2020-03-31,481.0,1.3145349108943865,0.0003786390328651848,1.2770667264102609,1.3144409131638732,1.3525372752909035
2020-04-01,433.0,1.0976846991258085,0.00027878910747504697,1.0652490564377246,1.09760029552322,1.1305999991373232
2020-04-02,411.0,0.9425040370244667,0.00022168083590273245,0.9134938246739764,0.9424253524384982,0.9721554350046163
2020-04-03,403.0,0.843491311196473,0.00019233108124290657,0.8165754378158842,0.843415275978985,0.8708930754563186
2020-04-04,402.0,0.7866293813140557,0.00018046371764122903,0.7606269937521192,0.7865535532043975,0.8129620344197764
2020-04-05,405.0,0.7707643553704537,0.0001836120896907,0.7443430147908578,0.770684403941907,0.7976400515463064
2020-04-06,410.0,0.7882803351636649,0.00019885910293041356,0.760889759015266,0.78819630016007,0.8161484733856673
2020-04-07,446.0,0.835658544282742,0.0002246763360475235,0.8068525143240748,0.835571090146348,0.8650975755674223
2020-04-08,468.0,0.9066590621090741,0.00026042194121677546,0.8753527412438653,0.9065668976845259,0.9379525607293697
2020-04-09,471.0,0.9904361037144729,0.00029709131995491985,0.9570235522325485,0.9903371809875667,1.0243186386231575
2020-04-10,463.0,1.06850325902658,0.00032916771459079485,1.0328710125846368,1.06839840605238,1.1047313740669475
2020-04-11,450.0,1.1257618977211235,0.00034869325144796766,1.0896654372635566,1.125659842004724,1.1625198805953378
2020-04-12,435.0,1.1587502602975555,0.0003559201308808653,1.122421490205063,1.1586498648445742,1.1959506822272454
2020-04-13,420.0,1.164812842471231,0.0003481247985381133,1.1286689154554579,1.1647127060928715,1.2013587517983417
2020-04-14,473.0,1.1431140995481055,0.00032923838921532895,1.1075491151432266,1.143013449516184,1.1791418750394942
2020-04-15,556.0,1.1150246195986462,0.00030930314424944163,1.0802807072262754,1.114929194454012,1.1503108234481454
2020-04-16,582.0,1.0792079743583562,0.0002887987570506915,1.046583816278037,1.0791210948985084,1.1126553111049478
2020-04-17,578.0,1.0519571506040797,0.0002724043060508303,1.0200066468912103,1.0518728789346796,1.0841592140744276
2020-04-18,557.0,1.0391024076415656,0.0002639142033787693,1.0074389713228884,1.0390171010096596,1.0712768218800108
2020-04-19,529.0,1.051677943874175,0.0002637934693726678,1.0198041026212363,1.0515928336479434,1.0840354580482923
2020-04-20,499.0,1.1031469381740462,0.00027411170893429794,1.0710703438991416,1.1030648206067168,1.1356901985035437
2020-04-21,370.0,1.193959800982387,0.0002940845359993444,1.160665883644182,1.1938781096410132,1.227717962280951
2020-04-22,544.0,1.3166278750174416,0.0003169868292781351,1.2821987421013454,1.316548722104276,1.3518505346892438
2020-04-23,638.0,1.4398047212483531,0.00033154653517649974,1.4046635496156399,1.4397293838020087,1.4757310660893055
2020-04-24,682.0,1.51857760264715,0.0003281692629876253,1.483389845259665,1.5185060236526464,1.5541721368378512
2020-04-25,697.0,1.5264899978949797,0.0003023309863687723,1.4929569295322007,1.5264253720270182,1.560390329153139
2020-04-26,696.0,1.4712281394869995,0.0002612067209998519,1.4398823085541936,1.4711695695496587,1.502906818047446
2020-04-27,684.0,1.3664867542992054,0.00021806668831144722,1.3377003062108046,1.3664335793110425,1.3955908658235243
2020-04-28,1265.0,1.2475982414547242,0.00017988234049466992,1.2213309084338047,1.2475497471383528,1.2740947072020425
2020-04-29,1174.0,1.1329289299329557,0.00015004380979927125,1.108952555733854,1.1328844276027397,1.1571582068325892
2020-04-30,1070.0,1.033794384631931,0.00012909196117086454,1.0116779302166128,1.033752888604814,1.0561466571928368
2020-05-01,965.0,0.9712335545161157,0.0001169827022748661,0.9500628555183892,0.9711930737296198,0.9926343021259239
2020-05-02,865.0,0.9442104564502976,0.00011242216258784984,0.9235408013673997,0.9441705039150763,0.9651742602957597
2020-05-03,772.0,0.963695003643048,0.00011490205419735025,0.942754001429905,0.963655088664882,0.9848628390334844
2020-05-04,687.0,1.0167770092812374,0.0001232047568549896,0.995129912666441,1.0167365927775023,1.03865378921189
2020-05-05,932.0,1.0948263061727546,0.00013413467000263356,1.072161610660061,1.0947851712499097,1.1177247677310918
2020-05-06,1254.0,1.1690635708996364,0.00014302490002225356,1.1458620028904793,1.1690232176862858,1.1924944625966214
2020-05-07,1369.0,1.2180271715279565,0.00014702024304703637,1.1943836636050427,1.2179863865614802,1.2420698209265817
2020-05-08,1373.0,1.230424546205028,0.00014309517577591358,1.2071093364386587,1.2303858459845856,1.2540645054777166
2020-05-09,1320.0,1.2031552519133568,0.00013288371871433396,1.1806833967255663,1.2031184914271038,1.2259506634405672
2020-05-10,1239.0,1.1486098504512874,0.0001202395695615347,1.1272634358159543,1.148575107047502,1.1701618415228836
2020-05-11,1147.0,1.0830717292256802,0.00010818356352395801,1.062826382138909,1.0830384404753133,1.1035500340022946
2020-05-12,1238.0,1.021527339547474,9.823160032764968e-05,1.0021654086478096,1.0214956945442955,1.0409184023991305
2020-05-13,1437.0,0.9752321560256898,9.154991631160102e-05,0.9567419234408697,0.9752014549625181,0.9939485989948078
2020-05-14,1480.0,0.9487708829392955,8.891689945388128e-05,0.9304432058174907,0.948739864372129,0.9672748358050896
2020-05-15,1438.0,0.9539302107537785,8.92883856032852e-05,0.935495247352295,0.953898998572646,0.9725425501899623
2020-05-16,1353.0,0.976332514707004,9.23797361304263e-05,0.95759466116727,0.9763010102813279,0.9952494050841103
2020-05-17,1249.0,1.0140031648484533,9.708829895108329e-05,0.9947613234830859,1.013971176533617,1.0334471461164596
